----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_peak-and-tail
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_peak-and-tail | 20.44481057 | 306.661166667 | 163 | 4278 | 5024 | 1722 | 0 | 909 | bnb: **796** ; knapsack: **17** ; Total: **813** | 0.00000382 | 9.97599147 | 0.360750617492 | 1.08921716279 | 0.03885307 | 0.0000225627584204 | 0.00110840000 | 0.03996147000 | 1 | 40 | 2.91753774681 | 3.24912631711 | knapsack: **187** ; srd: **739** ; bnb: **796** |
| bustabit-tiny-hot-wallet_peak-and-tail | 20.92312020 | 296.846153846 | 207 | 4650 | 5424 | 1850 | 0 | 981 | bnb: **851** ; knapsack: **18** ; Total: **869** | 0.00000382 | 9.97599147 | 0.346779123384 | 1.05192956023 | 0.04188438 | 0.0000226402054054 | 0.00140760000 | 0.04329198000 | 1 | 40 | 2.93189189189 | 3.23493457723 | knapsack: **199** ; srd: **800** ; bnb: **851** |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.28398037 | 289.803714286 | 213 | 4990 | 5853 | 2010 | 0 | 1076 | bnb: **913** ; knapsack: **21** ; Total: **934** | 0.00000382 | 9.97599147 | 0.324225696766 | 1.00777656445 | 0.04569732 | 0.0000227349850746 | 0.00144840000 | 0.04714572000 | 1 | 40 | 2.91194029851 | 3.16223149537 | knapsack: **216** ; srd: **881** ; bnb: **913** |
| bustabit-tiny-hot-wallet_peak-and-tail | 16.99903436 | 284.578266667 | 178 | 5335 | 6312 | 2165 | 0 | 1155 | bnb: **988** ; knapsack: **22** ; Total: **1010** | 0.00000382 | 9.97599147 | 0.315916247429 | 0.989950686512 | 0.04839842 | 0.0000223549284065 | 0.00121040000 | 0.04960882000 | 1 | 40 | 2.91547344111 | 3.12179829625 | knapsack: **222** ; srd: **955** ; bnb: **988** |
| bustabit-tiny-hot-wallet_peak-and-tail | 12.91865045 | 273.709500000 | 93 | 5654 | 6839 | 2346 | 0 | 1278 | bnb: **1045** ; knapsack: **23** ; Total: **1068** | 0.00000382 | 9.97599147 | 0.334759473106 | 1.02145052073 | 0.05251731 | 0.0000223858951407 | 0.000632400000 | 0.053149710000 | 1 | 44 | 2.91517476556 | 3.17681632336 | knapsack: **228** ; srd: **1073** ; bnb: **1045** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.62519449 | 264.293529412 | 161 | 5963 | 7216 | 2537 | 0 | 1414 | bnb: **1099** ; knapsack: **24** ; Total: **1123** | 0.00000382 | 9.97599147 | 0.320557997709 | 0.980072897647 | 0.05681662 | 0.0000223951990540 | 0.00109480000 | 0.05791142000 | 1 | 44 | 2.84430429641 | 3.09354039755 | knapsack: **234** ; srd: **1204** ; bnb: **1099** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.61205875 | 259.510222222 | 196 | 6278 | 7621 | 2722 | 0 | 1539 | bnb: **1157** ; knapsack: **26** ; Total: **1183** | 0.00000382 | 9.97599147 | 0.306623107576 | 0.942821550757 | 0.06009715 | 0.0000220783063924 | 0.00133280000 | 0.06142995000 | 1 | 44 | 2.79977957384 | 3.02919033261 | knapsack: **245** ; srd: **1320** ; bnb: **1157** |
| bustabit-tiny-hot-wallet_peak-and-tail | 19.58098703 | 255.484631579 | 174 | 6573 | 8080 | 2927 | 0 | 1681 | bnb: **1220** ; knapsack: **26** ; Total: **1246** | 0.00000382 | 9.97599147 | 0.292324009387 | 0.908466763670 | 0.06393862 | 0.0000218444209088 | 0.00118320000 | 0.06512182000 | 1 | 44 | 2.76050563717 | 2.96315460027 | knapsack: **263** ; srd: **1444** ; bnb: **1220** |
| bustabit-tiny-hot-wallet_peak-and-tail | 13.43218320 | 251.953700000 | 197 | 6892 | 8496 | 3108 | 0 | 1801 | bnb: **1278** ; knapsack: **29** ; Total: **1307** | 0.00000382 | 9.97599147 | 0.284263321160 | 0.882263649512 | 0.06769902 | 0.0000217821814672 | 0.00133960000 | 0.06903862000 | 1 | 44 | 2.73359073359 | 2.91072028993 | knapsack: **288** ; srd: **1542** ; bnb: **1278** |
| bustabit-tiny-hot-wallet_peak-and-tail | 13.07230620 | 244.531142857 | 70 | 7193 | 9080 | 3307 | 0 | 1957 | bnb: **1321** ; knapsack: **29** ; Total: **1350** | 0.00000382 | 9.97599147 | 0.329978241349 | 1.01852206360 | 0.07156167 | 0.0000216394526761 | 0.000476000000 | 0.072037670000 | 1 | 49 | 2.74569095857 | 3.08927099983 | knapsack: **313** ; srd: **1673** ; bnb: **1321** |
| bustabit-tiny-hot-wallet_peak-and-tail | 12.20824853 | 236.930272727 | 113 | 7533 | 9486 | 3467 | 0 | 2066 | bnb: **1372** ; knapsack: **29** ; Total: **1401** | 0.00000382 | 9.97599147 | 0.347310535842 | 1.04557495679 | 0.07577633 | 0.0000218564551485 | 0.000768400000 | 0.076544730000 | 1 | 49 | 2.73608306894 | 3.04560053743 | knapsack: **327** ; srd: **1768** ; bnb: **1372** |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.27428270 | 232.744260870 | 209 | 7877 | 9841 | 3623 | 0 | 2173 | bnb: **1421** ; knapsack: **29** ; Total: **1450** | 0.00000382 | 9.97599147 | 0.349675841358 | 1.04397739437 | 0.07847923 | 0.0000216613938725 | 0.00142120000 | 0.07990043000 | 1 | 49 | 2.71625724538 | 3.00341754761 | knapsack: **332** ; srd: **1870** ; bnb: **1421** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.43210367 | 232.077416667 | 157 | 8204 | 10323 | 3796 | 0 | 2276 | bnb: **1490** ; knapsack: **30** ; Total: **1520** | 0.00000382 | 9.97599147 | 0.341310143282 | 1.02580877138 | 0.08134992 | 0.0000214304320337 | 0.00106760000 | 0.08241752000 | 1 | 49 | 2.71944151739 | 2.98163925592 | knapsack: **348** ; srd: **1958** ; bnb: **1490** |
