id,utxo_amounts
304,"['0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00006504', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '12.36944495', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00010000', '0.00100000', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.00072800', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.05000000', '0.01930000', '0.01570000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00237000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '0.00100000', '0.00021000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.00038000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
305,"['12.36830354', '0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00006504', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00010000', '0.00100000', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.00072800', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.05000000', '0.01930000', '0.01570000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00237000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '0.00100000', '0.00021000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.00038000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
306,"['0.00200000', '0.00008830', '0.00010000', '0.01449659', '12.36317534', '0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00006504', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00010000', '0.00100000', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.00072800', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.05000000', '0.01930000', '0.01570000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00237000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '0.00100000', '0.00021000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.00038000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
307,"['0.00100000', '12.36217393', '0.00200000', '0.00008830', '0.00010000', '0.01449659', '0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00006504', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00010000', '0.00100000', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.00072800', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.05000000', '0.01930000', '0.01570000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00237000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '0.00100000', '0.00021000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.00038000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
308,"['0.00011000', '0.00025000', '0.00990000', '0.00100000', '0.00200000', '0.00008830', '0.00010000', '0.01449659', '0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00006504', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00010000', '0.00100000', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.00072800', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00001000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.05000000', '0.01930000', '0.01570000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00237000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '12.35207252', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '0.00100000', '0.00021000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.00038000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
309,"['0.00100000', '0.01000000', '0.00014800', '0.00011000', '0.00025000', '0.00990000', '0.00100000', '0.00200000', '0.00008830', '0.00010000', '0.01449659', '0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00006504', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00500000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00010000', '0.00100000', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.00072800', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00001000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.05000000', '0.01930000', '0.01570000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00237000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '12.35179632', '0.00100000', '0.00021000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.00038000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
310,"['0.00100000', '12.34879491', '0.00100000', '0.01000000', '0.00014800', '0.00011000', '0.00025000', '0.00990000', '0.00100000', '0.00200000', '0.00008830', '0.00010000', '0.01449659', '0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00006504', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00500000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00010000', '0.00100000', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.00072800', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00001000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.05000000', '0.01930000', '0.01570000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00237000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '0.00100000', '0.00021000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.00038000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
311,"['0.00110000', '0.00927000', '0.00063540', '0.00294160', '0.00202400', '0.00880000', '0.01000000', '0.00935000', '0.00342500', '0.00360000', '0.00108100', '0.00100000', '12.34879491', '0.00100000', '0.01000000', '0.00025000', '0.00990000', '0.00100000', '0.00200000', '0.00005666', '0.01449659', '0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00500000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00100000', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00450000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.05000000', '0.01930000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '0.00100000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00124100', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
312,"['0.01149000', '0.00005480', '0.00110000', '0.00927000', '0.00063540', '0.00294160', '0.00202400', '0.00880000', '0.01000000', '0.00935000', '0.00342500', '0.00360000', '0.00108100', '0.00100000', '0.00100000', '0.01000000', '0.00025000', '0.00990000', '0.00100000', '0.00200000', '0.00005666', '0.01449659', '0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00090000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00500000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00100000', '0.00011808', '12.34676671', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00450000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.02000000', '0.05000000', '0.01930000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.00090000', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '0.00100000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00124100', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
313,"['12.34656530', '0.01149000', '0.00005480', '0.00110000', '0.00927000', '0.00063540', '0.00294160', '0.00202400', '0.00880000', '0.01000000', '0.00935000', '0.00342500', '0.00360000', '0.00108100', '0.00100000', '0.00100000', '0.01000000', '0.00025000', '0.00990000', '0.00100000', '0.00200000', '0.00005666', '0.01449659', '0.00100000', '0.01000000', '0.00198637', '0.00100000', '0.00090000', '0.00150000', '0.00890000', '0.00190000', '0.00060081', '0.00110000', '0.01119474', '0.00052000', '0.01495000', '0.00700000', '0.00040000', '0.00049400', '0.05000000', '0.00700000', '0.00083132', '0.03000000', '0.00393405', '0.00100000', '0.00500000', '0.00063000', '0.00080000', '0.00060000', '0.00390625', '0.00080000', '0.01000000', '0.01000000', '0.00090000', '0.00510000', '0.00300000', '0.00290000', '1.00000000', '0.00500000', '0.01900000', '0.03000000', '0.10000000', '0.10000000', '0.00100000', '0.00011808', '0.00224987', '0.03000000', '0.00980000', '0.01500000', '0.01000000', '0.00500000', '0.01000000', '0.00090000', '0.00392695', '0.01000000', '0.00114700', '0.00100000', '0.00500000', '0.00100000', '0.00450000', '0.00180000', '0.01000000', '0.07000000', '0.01000000', '0.00700000', '0.00090000', '0.20000000', '0.06000000', '0.00050000', '0.00110000', '0.02000000', '0.05000000', '0.01930000', '0.00040900', '0.03300000', '0.00400000', '0.01000000', '0.01500000', '0.05000000', '0.01950000', '0.04000000', '0.00070000', '0.00900000', '0.00090000', '0.10000000', '0.01000000', '0.01000000', '0.02471042', '0.02900000', '0.00198467', '0.01187000', '0.00700000', '0.03000000', '0.00039116', '0.00229870', '0.00500000', '0.00090000', '0.00900000', '0.01940000', '0.00637176', '0.00090000', '0.01950000', '0.00193800', '0.03000000', '0.00050000', '0.05000000', '0.00318000', '0.01000000', '0.05500000', '0.20000000', '0.00500000', '0.00100000', '0.04000000', '0.03000000', '0.00980000', '0.00963986', '0.02000000', '0.02959206', '0.05900000', '0.00124100', '0.00084400', '0.01000000', '0.06000000', '0.01000000', '0.01000000', '0.01940000', '0.00800000', '0.00100000', '0.00390000', '0.09980000', '0.00070000', '0.00070000', '0.09990000', '0.01990000', '0.00980000', '0.02000000', '0.10000000', '0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.00090000', '0.00040856', '0.01000000', '0.01090000', '0.02310000', '0.07024500', '0.00028000', '0.01000000', '0.01000000', '0.00099000', '0.00100000', '0.02400000', '0.00180000', '1.00000000', '0.00390000', '0.00986679', '0.01158205', '0.01000000', '0.00969500', '0.01000000', '0.01030000', '0.01200000', '0.00096700', '0.00500000', '0.00392156', '0.01000000', '0.00050000', '0.01942388', '0.01944692', '0.00100000', '0.00170000', '0.00222825', '0.05000000', '0.00050000', '0.00500000', '0.20000000', '0.00196900', '0.01470000', '0.00100000', '0.00989938']"
