id,utxo_amounts
19,"['4.99266982', '0.00090000', '0.00056976', '0.01000000', '0.00390000', '0.00050000', '0.01000000', '0.00010000', '0.00100000', '0.00010863', '0.01010000', '0.00109000', '0.00940000', '0.01570000', '0.00794500', '3.00000000', '0.01569000', '2.00000000', '0.00000100', '0.00980000', '1.00000000', '0.00100000', '4.00000000', '0.02500000', '0.10000000', '0.00103200', '0.00000200']"
20,"['4.99156841', '0.00000200', '0.10000000', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00103200', '0.00980000', '0.00000100', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.00109000', '0.01569000', '0.01010000', '0.00010863', '0.00100000', '0.00010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00390000', '0.00056976', '0.00090000']"
21,"['4.99064021', '0.00000200', '0.10000000', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00103200', '0.00980000', '0.00000100', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.00109000', '0.01569000', '0.01010000', '0.00010863', '0.00100000', '0.00010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00390000', '0.00056976', '0.00090000']"
22,"['4.98953880', '0.00000200', '0.10000000', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00103200', '0.00980000', '0.00000100', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.00109000', '0.01569000', '0.01010000', '0.00010863', '0.00100000', '0.00010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00390000', '0.00056976', '0.00090000']"
23,"['4.98741760', '0.00000200', '0.10000000', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00103200', '0.00980000', '0.00000100', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.00109000', '0.01569000', '0.01010000', '0.00010863', '0.00100000', '0.00010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00390000', '0.00056976', '0.00090000']"
24,"['4.98741760', '0.00000200', '0.10000000', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00980000', '0.00000100', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00390000', '0.00056976', '0.00090000']"
25,"['4.98314340', '0.00000200', '0.10000000', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00980000', '0.00000100', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00390000', '0.00056976', '0.00090000']"
26,"['0.09666892', '4.98314340', '0.00000200', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00980000', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00390000', '0.00056976', '0.00090000']"
27,"['4.98111520', '0.09666892', '0.00000200', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00980000', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00390000', '0.00056976', '0.00090000']"
28,"['0.00052359', '4.98111520', '0.09666892', '0.00000200', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00980000', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00056976', '0.00090000']"
29,"['0.09364072', '0.00052359', '4.98111520', '0.00000200', '4.00000000', '0.02500000', '0.00100000', '1.00000000', '0.00980000', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.00050000', '0.01000000', '0.00056976', '0.00090000']"
30,"['0.00100000', '0.09364072', '0.00052359', '4.98111520', '0.00000200', '0.00002032', '4.00000000', '0.02500000', '1.00000000', '0.00980000', '2.00000000', '0.00794500', '0.01570000', '0.00940000', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.01000000']"
31,"['0.00461859', '0.00100000', '0.09364072', '0.00052359', '4.98111520', '0.00000200', '0.00002032', '4.00000000', '0.02500000', '1.00000000', '0.00980000', '2.00000000', '0.01570000', '0.00940000', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.01000000']"
32,"['0.00100000', '0.09364072', '0.00052359', '4.98111520', '0.00000200', '0.00002032', '4.00000000', '0.02500000', '1.00000000', '0.00980000', '2.00000000', '0.01570000', '0.00940000', '0.00126539', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.01000000']"
33,"['0.00100000', '0.09364072', '0.00052359', '4.98111520', '0.00000200', '0.00002032', '4.00000000', '0.02500000', '1.00000000', '0.00980000', '2.00000000', '0.00609859', '0.01570000', '0.00126539', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.01000000']"
34,"['0.01000000', '0.00100000', '0.09364072', '0.00270739', '0.00052359', '4.98111520', '0.00000200', '0.00002032', '4.00000000', '0.02500000', '1.00000000', '0.00980000', '2.00000000', '0.01570000', '0.00126539', '0.01569000', '0.01010000', '0.01000000', '3.00000000', '0.01000000', '0.01300000', '0.00300000']"
35,"['0.01000000', '0.00100000', '0.09364072', '0.00270739', '0.00052359', '4.98111520', '0.00000200', '0.00002032', '4.00000000', '0.02500000', '0.00980000', '2.00000000', '0.01570000', '0.00126539', '0.01569000', '0.01010000', '0.01000000', '0.99663780', '3.00000000', '0.01000000', '0.01300000', '0.00300000']"
36,"['0.01000000', '0.00100000', '0.09364072', '0.00270739', '0.00052359', '4.98111520', '0.00000200', '0.02500000', '0.00980000', '2.00000000', '0.01570000', '0.00126539', '0.01569000', '0.01010000', '3.99971824', '0.01000000', '0.99663780', '3.00000000', '0.01000000', '0.01300000', '0.00300000']"
37,"['0.01000000', '1.99697080', '0.00100000', '0.09364072', '0.00270739', '0.00052359', '4.98111520', '0.00020000', '0.00000200', '0.02500000', '0.00980000', '0.01570000', '0.00126539', '0.01569000', '0.01010000', '3.99971824', '0.01000000', '0.99663780', '3.00000000', '0.01000000', '0.01300000', '0.00300000']"
38,"['0.01233280', '0.01000000', '1.99697080', '0.00100000', '0.09364072', '0.00270739', '0.00052359', '4.98111520', '0.00020000', '0.00000200', '0.02500000', '0.00980000', '0.01570000', '0.00126539', '0.01010000', '3.99971824', '0.01000000', '0.99663780', '3.00000000', '0.01000000', '0.01300000', '0.00300000']"
39,"['0.00019451', '0.01233280', '0.01000000', '1.99697080', '0.00100000', '0.09364072', '0.00270739', '4.98111520', '0.00020000', '0.00000200', '0.02500000', '0.00980000', '0.01570000', '0.00126539', '0.01010000', '3.99971824', '0.01000000', '0.99663780', '3.00000000', '0.01000000', '0.01300000']"
40,"['0.00964480', '0.00019451', '0.01233280', '0.01000000', '1.99697080', '0.00100000', '0.09364072', '0.00270739', '4.98111520', '0.00020000', '0.00000200', '0.02500000', '0.00980000', '0.01570000', '0.00126539', '0.01010000', '3.99971824', '0.01000000', '0.99663780', '3.00000000', '0.01000000']"
41,"['0.00964480', '0.00019451', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00020000', '0.00000200', '0.00047831', '0.02500000', '0.00980000', '0.01570000', '0.00126539', '0.01010000', '3.99971824', '0.01000000', '0.99663780', '3.00000000', '0.01000000']"
42,"['0.00629660', '0.00019451', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00020000', '0.00000200', '0.00047831', '0.02500000', '0.00980000', '0.01570000', '0.00126539', '0.01010000', '3.99971824', '0.00300000', '0.01000000', '0.99663780', '3.00000000', '0.01000000']"
43,"['0.00629660', '0.00019451', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00020000', '0.00000200', '0.00047831', '0.00980000', '0.02298780', '0.01570000', '0.00126539', '0.01010000', '3.99971824', '0.00300000', '0.01000000', '0.99663780', '3.00000000', '0.01000000']"
44,"['0.00011000', '0.03535793', '0.00019451', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00020000', '0.00000200', '0.00047831', '0.00980000', '0.02298780', '0.01570000', '0.00126539', '0.00307519', '0.01010000', '3.99971824', '0.00300000', '0.01000000', '0.99663780', '3.00000000', '0.01000000']"
45,"['2.99491680', '0.00011000', '0.03535793', '0.00019451', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00034660', '0.00020000', '0.00000200', '0.00047831', '0.00980000', '0.02298780', '0.01570000', '0.00126539', '0.00307519', '0.01010000', '3.99971824', '0.00300000', '0.01000000', '0.99663780', '0.01000000']"
46,"['2.99491680', '0.00011000', '0.03535793', '0.00019451', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00034660', '0.00020000', '0.00000200', '0.00047831', '0.00980000', '0.02298780', '0.00018719', '0.01570000', '0.00307519', '0.01010000', '3.99971824', '0.00300000', '0.01000000', '0.99663780', '0.01000000']"
47,"['2.99491680', '0.00011000', '0.03535793', '0.00019451', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00034660', '0.00047831', '0.00980000', '0.02298780', '0.00018719', '0.01570000', '0.00307519', '0.01010000', '3.99971824', '0.00300000', '0.01000000', '0.99663780', '0.01000000']"
48,"['2.99491680', '0.00011000', '0.03535793', '0.00019451', '0.01233280', '0.01000000', '0.00210280', '1.99697080', '0.09364072', '4.98111520', '0.00034660', '0.00076900', '0.00047831', '0.00980000', '0.02298780', '0.00018719', '0.01570000', '0.00307519', '0.01010000', '3.99971824', '0.01000000', '0.99663780', '0.01000000']"
49,"['0.00976780', '2.99491680', '0.00011000', '0.03535793', '0.00019451', '0.01233280', '0.01000000', '0.00210280', '1.99697080', '0.09364072', '4.98111520', '0.00034660', '0.00076900', '0.00047831', '0.00980000', '0.02298780', '0.00018719', '0.01570000', '0.00307519', '0.01010000', '3.99971824', '0.99663780', '0.01000000']"
50,"['0.00976780', '2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00076900', '0.00980000', '0.02298780', '0.00018719', '0.01570000', '0.00307519', '0.01010000', '3.99971824', '0.99663780', '0.01000000']"
51,"['0.00639660', '2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00076900', '0.00980000', '0.02298780', '0.00018719', '0.01570000', '0.00307519', '0.01010000', '3.99971824', '0.99663780', '0.01000000']"
52,"['0.00278971', '2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00076900', '0.00980000', '0.02298780', '0.00018719', '0.01570000', '0.01010000', '3.99971824', '0.99663780', '0.01000000']"
53,"['0.00644680', '0.00278971', '2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00076900', '0.02298780', '0.00018719', '0.01570000', '0.01010000', '3.99971824', '0.99663780', '0.01000000']"
54,"['0.00644680', '2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.02298780', '0.00018719', '0.01570000', '0.00023163', '0.01010000', '3.99971824', '0.99663780', '0.01000000']"
55,"['2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.00309360', '0.09364072', '4.98111520', '0.02298780', '0.00018719', '0.01570000', '0.00023163', '0.01010000', '3.99971824', '0.99663780', '0.01000000']"
56,"['0.00018466', '2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.02298780', '0.01570000', '0.01010000', '3.99971824', '0.99663780', '0.01000000']"
57,"['0.00018466', '2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.02298780', '0.01570000', '0.01010000', '3.99971824', '0.99663780', '0.00697180']"
58,"['0.00018466', '0.00364339', '2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.02298780', '0.01570000', '0.01010000', '3.99971824', '0.99663780']"
59,"['0.00018466', '2.99491680', '0.03535793', '0.01233280', '0.01000000', '1.99697080', '0.09364072', '4.98111520', '0.00029019', '0.02298780', '0.01570000', '0.01010000', '3.99971824', '0.99663780']"
60,"['0.00699859', '0.00018466', '2.99491680', '0.03535793', '0.01233280', '1.99697080', '0.09364072', '4.98111520', '0.00029019', '0.02298780', '0.01570000', '0.01010000', '3.99971824', '0.99663780']"
61,"['0.00364339', '0.00018466', '2.99491680', '0.03535793', '0.01233280', '1.99697080', '0.09364072', '4.98111520', '0.00029019', '0.02298780', '0.01570000', '0.01010000', '3.99971824', '0.99663780']"
62,"['0.00018466', '2.99491680', '0.03535793', '0.01233280', '1.99697080', '0.09364072', '4.98111520', '0.00029019', '0.02298780', '0.01570000', '0.01010000', '3.99971824', '0.99663780', '0.00031498']"
63,"['0.00018466', '2.99491680', '0.03535793', '0.01233280', '1.99697080', '0.09364072', '4.98111520', '0.00029019', '0.02298780', '0.01570000', '3.99971824', '0.99663780', '0.00031498', '0.00674380']"
64,"['0.00018466', '2.99491680', '0.01233280', '1.99697080', '0.09364072', '4.98111520', '0.04772685', '0.00029019', '0.02298780', '3.99971824', '0.99663780', '0.00031498', '0.00674380']"
65,"['0.00338560', '0.00018466', '2.99491680', '0.01233280', '1.99697080', '0.09364072', '4.98111520', '0.04772685', '0.00029019', '0.02298780', '3.99971824', '0.99663780', '0.00031498']"
66,"['1.99393391', '0.00338560', '0.00018466', '2.99491680', '0.01233280', '0.09364072', '4.98111520', '0.04772685', '0.02298780', '3.99971824', '0.99663780', '0.00031498']"
67,"['0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.01233280', '0.09364072', '4.98111520', '0.04772685', '0.02298780', '3.99971824', '0.99663780', '0.00031498']"
