----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_peak-and-tail
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.28015283 | 293.457285714 | 340 | 4990 | 5757 | 2010 | 0 | 1107 | bnb: **880** ; knapsack: **23** ; Total: **903** | 0.00000340 | 9.18560375 | 0.342863315763 | 1.09587374180 | 0.04952486 | 0.0000246392338308 | 0.00231200000 | 0.05183686000 | 1 | 97 | 2.86417910448 | 3.89891695952 | knapsack: **219** ; srd: **911** ; bnb: **880** |
| bustabit-tiny-hot-wallet_peak-and-tail | 16.99511730 | 297.605866667 | 294 | 5335 | 6227 | 2165 | 0 | 1186 | bnb: **952** ; knapsack: **27** ; Total: **979** | 0.00000340 | 9.18560375 | 0.323309696138 | 1.06140094928 | 0.05231548 | 0.0000241641939954 | 0.00199920000 | 0.05431468000 | 1 | 97 | 2.87621247113 | 3.83116566856 | knapsack: **231** ; srd: **982** ; bnb: **952** |
| bustabit-tiny-hot-wallet_peak-and-tail | 12.91405374 | 288.911500000 | 95 | 5654 | 6861 | 2346 | 0 | 1302 | bnb: **1013** ; knapsack: **31** ; Total: **1044** | 0.00000340 | 9.18560375 | 0.352239588894 | 1.10934886839 | 0.05711402 | 0.0000243452770673 | 0.000646000000 | 0.057760020000 | 1 | 97 | 2.92455242967 | 3.87323910221 | knapsack: **250** ; srd: **1083** ; bnb: **1013** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.62052733 | 278.009411765 | 165 | 5963 | 7242 | 2537 | 0 | 1444 | bnb: **1062** ; knapsack: **31** ; Total: **1093** | 0.00000340 | 9.18560375 | 0.366199050194 | 1.10895150906 | 0.06148378 | 0.0000242348364210 | 0.00112200000 | 0.06260578000 | 1 | 97 | 2.85455262121 | 3.75697720616 | knapsack: **261** ; srd: **1214** ; bnb: **1062** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.60728935 | 274.389777778 | 229 | 6278 | 7621 | 2722 | 0 | 1572 | bnb: **1117** ; knapsack: **33** ; Total: **1150** | 0.00000340 | 9.18560375 | 0.350094396622 | 1.06747659020 | 0.06486655 | 0.0000238304739162 | 0.00155720000 | 0.06642375000 | 1 | 97 | 2.79977957384 | 3.65550135260 | knapsack: **266** ; srd: **1339** ; bnb: **1117** |
| bustabit-tiny-hot-wallet_peak-and-tail | 19.57637795 | 272.415684211 | 250 | 6573 | 8029 | 2927 | 0 | 1706 | bnb: **1187** ; knapsack: **34** ; Total: **1221** | 0.00000340 | 9.18560375 | 0.334539386014 | 1.03003775944 | 0.06854770 | 0.0000234190980526 | 0.00170000000 | 0.07024770000 | 1 | 97 | 2.74308165357 | 3.55153435036 | knapsack: **274** ; srd: **1466** ; bnb: **1187** |
| bustabit-tiny-hot-wallet_peak-and-tail | 13.42747824 | 271.921700000 | 273 | 6892 | 8439 | 3108 | 0 | 1820 | bnb: **1253** ; knapsack: **35** ; Total: **1288** | 0.00000340 | 9.18560375 | 0.323130064335 | 1.00356997959 | 0.07240398 | 0.0000232960038610 | 0.00185640000 | 0.07426038000 | 1 | 97 | 2.71525096525 | 3.47240707755 | knapsack: **287** ; srd: **1568** ; bnb: **1253** |
| bustabit-tiny-hot-wallet_peak-and-tail | 13.06692447 | 265.030000000 | 65 | 7193 | 9093 | 3307 | 0 | 1965 | bnb: **1306** ; knapsack: **36** ; Total: **1342** | 0.00000340 | 9.18560375 | 0.344700501669 | 1.05422057556 | 0.07694340 | 0.0000232668279407 | 0.000442000000 | 0.077385400000 | 1 | 97 | 2.74962201391 | 3.62390593155 | knapsack: **325** ; srd: **1676** ; bnb: **1306** |
| bustabit-tiny-hot-wallet_peak-and-tail | 12.20306923 | 257.574636364 | 149 | 7533 | 9462 | 3467 | 0 | 2078 | bnb: **1352** ; knapsack: **37** ; Total: **1389** | 0.00000340 | 9.18560375 | 0.350270233869 | 1.04870299994 | 0.08095563 | 0.0000233503403519 | 0.00101320000 | 0.08196883000 | 1 | 97 | 2.72916065763 | 3.56089073583 | knapsack: **335** ; srd: **1780** ; bnb: **1352** |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.26903704 | 254.385739130 | 263 | 7877 | 9797 | 3623 | 0 | 2183 | bnb: **1403** ; knapsack: **37** ; Total: **1440** | 0.00000340 | 9.18560375 | 0.345799530366 | 1.03654559096 | 0.08372489 | 0.0000231092713221 | 0.00178840000 | 0.08551329000 | 1 | 97 | 2.70411261386 | 3.49878928030 | knapsack: **341** ; srd: **1879** ; bnb: **1403** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.42656352 | 255.276833333 | 170 | 8204 | 10324 | 3796 | 0 | 2290 | bnb: **1466** ; knapsack: **40** ; Total: **1506** | 0.00000340 | 9.18560375 | 0.335927214336 | 1.01913960525 | 0.08689007 | 0.0000228899025290 | 0.00115600000 | 0.08804607000 | 1 | 97 | 2.71970495258 | 3.54484784771 | knapsack: **356** ; srd: **1974** ; bnb: **1466** |
