Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_6h-YTD-2023,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_6h-YTD-2023,12.75274862,190.225750000,63,5654,6862,2346,5,1271,bnb: **1075** ; Total: **1075**,0.00052688,8.52849696,0.355761056908,1.08706526518,0.21841914,0.0000931027877238,0.000428400000,0.218847540000,1,79,2.92497868713,3.74864844152,knapsack: **267** ; srd: **1004** ; bnb: **1075**
bustabit-tiny-hot-wallet_6h-YTD-2023,26.44493505,182.690470588,100,5963,7277,2537,5,1414,bnb: **1123** ; Total: **1123**,0.00052688,8.52849696,0.346333071605,1.05342212221,0.23707606,0.0000934474024438,0.000680000000,0.237756060000,1,79,2.86834844304,3.67015568288,knapsack: **303** ; srd: **1111** ; bnb: **1123**
bustabit-tiny-hot-wallet_6h-YTD-2023,15.41899470,181.419111111,164,6278,7647,2722,5,1533,bnb: **1189** ; Total: **1189**,0.00050263,8.52849696,0.335003313516,1.01614429299,0.25316120,0.0000930055841293,0.00111520000,0.25427640000,1,79,2.80933137399,3.57972376937,knapsack: **307** ; srd: **1226** ; bnb: **1189**
bustabit-tiny-hot-wallet_6h-YTD-2023,19.37386953,179.314736842,159,6573,8083,2927,5,1669,bnb: **1258** ; Total: **1258**,0.00050263,8.52849696,0.315828372780,0.977539165504,0.27105612,0.0000926054390161,0.00108120000,0.27213732000,1,79,2.76153057738,3.49120310093,knapsack: **332** ; srd: **1337** ; bnb: **1258**
bustabit-tiny-hot-wallet_6h-YTD-2023,13.21900748,176.550200000,105,6892,8574,3108,5,1787,bnb: **1321** ; Total: **1321**,0.00050263,8.52849696,0.307438437208,0.953126001289,0.28087474,0.0000903715379665,0.000714000000,0.281588740000,1,79,2.75868725869,3.46535640670,knapsack: **366** ; srd: **1421** ; bnb: **1321**
bustabit-tiny-hot-wallet_6h-YTD-2023,12.83326005,171.434000000,51,7193,9076,3307,5,1934,bnb: **1373** ; Total: **1373**,0.00050263,9.96192678,0.346365569307,1.06585759504,0.31060782,0.0000939243483520,0.000346800000,0.310954620000,1,79,2.74448140308,3.46502212663,knapsack: **402** ; srd: **1532** ; bnb: **1373**
bustabit-tiny-hot-wallet_6h-YTD-2023,11.95691885,166.892545455,54,7533,9513,3467,5,2034,bnb: **1433** ; Total: **1433**,0.00050263,9.96192678,0.354670062960,1.07097834678,0.32710601,0.0000943484309201,0.000367200000,0.327473210000,1,79,2.74387078166,3.42963886594,knapsack: **418** ; srd: **1616** ; bnb: **1433**
bustabit-tiny-hot-wallet_6h-YTD-2023,27.01008244,163.448782609,176,7877,9852,3623,5,2151,bnb: **1472** ; Total: **1472**,0.00050263,9.96192678,0.371714635779,1.08610688431,0.34267949,0.0000945844576318,0.00119680000,0.34387629000,1,79,2.71929340326,3.39655529983,knapsack: **436** ; srd: **1715** ; bnb: **1472**
bustabit-tiny-hot-wallet_6h-YTD-2023,15.16098041,163.148083333,56,8204,10398,3796,5,2250,bnb: **1546** ; Total: **1546**,0.00050263,9.96192678,0.363742370596,1.07171703179,0.35247318,0.0000928538408851,0.000380800000,0.352853980000,1,79,2.73919915701,3.50003979520,knapsack: **461** ; srd: **1789** ; bnb: **1546**
bustabit-tiny-hot-wallet_6h-YTD-2023,24.24648294,160.455600000,102,8541,10791,3959,5,2352,bnb: **1607** ; Total: **1607**,0.00050263,9.96192678,0.356947342402,1.05265047061,0.36644289,0.0000925594569336,0.000693600000,0.367136490000,1,79,2.72568830513,3.46425103665,knapsack: **481** ; srd: **1871** ; bnb: **1607**
bustabit-tiny-hot-wallet_6h-YTD-2023,20.53140356,160.968692308,224,8875,11105,4125,5,2454,bnb: **1671** ; Total: **1671**,0.00050263,9.96192678,0.357823420844,1.03613680313,0.38268143,0.0000927712557576,0.00152320000,0.38420463000,1,79,2.69212121212,3.40881616230,knapsack: **482** ; srd: **1972** ; bnb: **1671**
bustabit-tiny-hot-wallet_6h-YTD-2023,14.59833353,160.729185185,123,9156,11631,4344,5,2598,bnb: **1746** ; Total: **1746**,0.00050263,9.96192678,0.348787407644,1.01185143448,0.39100660,0.0000900107274401,0.000836400000,0.391843000000,1,79,2.67748618785,3.38833440993,knapsack: **509** ; srd: **2089** ; bnb: **1746**
bustabit-tiny-hot-wallet_6h-YTD-2023,21.26928242,160.071714286,131,9452,12061,4548,6,2740,bnb: **1808** ; Total: **1808**,0.00050263,9.96192678,0.336886708938,0.988464275885,0.40592315,0.0000892531112577,0.000890800000,0.406813950000,1,79,2.65193491645,3.33576671225,knapsack: **557** ; srd: **2183** ; bnb: **1808**
bustabit-tiny-hot-wallet_6h-YTD-2023,17.44035481,160.521517241,146,9756,12468,4744,6,2858,bnb: **1886** ; Total: **1886**,0.00050263,9.96192678,0.328226147316,0.969371748543,0.42813449,0.0000902475737774,0.000992800000,0.429127290000,1,79,2.62816188870,3.28587588047,knapsack: **570** ; srd: **2288** ; bnb: **1886**
bustabit-tiny-hot-wallet_6h-YTD-2023,17.74932689,160.116866667,192,10038,12869,4962,6,3023,bnb: **1939** ; Total: **1939**,0.00050263,9.96192678,0.318037726844,0.945772283317,0.44538472,0.0000897591132608,0.00130560000,0.44669032000,1,79,2.59351068118,3.23497288947,knapsack: **597** ; srd: **2426** ; bnb: **1939**
bustabit-tiny-hot-wallet_6h-YTD-2023,14.68885166,160.033154300,111,10076,13016,5005,6,3051,bnb: **1954** ; Total: **1954**,0.00050263,9.96192678,0.315340867604,0.941851398693,0.44616521,0.0000891438981019,0.000754800000,0.446920010000,1,79,2.60059940060,3.23427753902,knapsack: **620** ; srd: **2431** ; bnb: **1954**
