bustabit-tiny-hot-wallet_peak-and-tail,15.03462587,103.61,97,10076,13569,5005,5,3590,bnb: **1400** ; knapsack: **15** ; Total: **1415**,0.00000361,9.11847768,0.30514198,0.86380486,0.10039100,0.00002006,0.00065960,0.10105060,1,86,2.71,3.30,knapsack: **1076** ; srd: **2529** ; bnb: **1400**
bustabit-tiny-hot-wallet_peak-and-tail,15.03506187,103.45,108,10076,13540,5005,4,3572,bnb: **1411** ; knapsack: **22** ; Total: **1433**,0.00000322,9.87999466,0.32770047,0.95703266,0.09995500,0.00001997,0.00073440,0.10068940,1,105,2.71,3.40,knapsack: **1083** ; srd: **2511** ; bnb: **1411**
,,,,,,,,,,,,,,,,,,,,,,
LTFRE-4,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,15.03498982,51.68,37,10076,14120,5005,5,4081,bnb: **901** ; knapsack: **23** ; Total: **924**,0.00000332,9.99489307,0.31887285,0.92163718,0.10002705,0.00001999,0.00025160,0.10027865,1,46,2.82,3.46,knapsack: **2258** ; srd: **1846** ; bnb: **901**
bustabit-tiny-hot-wallet_peak-and-tail,15.03393441,50.47,32,10076,14156,5005,5,4112,bnb: **869** ; knapsack: **24** ; Total: **893**,0.00000317,9.99028111,0.34538125,1.01690923,0.10108246,0.00002020,0.00021760,0.10130006,1,55,2.83,3.59,knapsack: **2329** ; srd: **1807** ; bnb: **869**
bustabit-tiny-hot-wallet_peak-and-tail,15.03477548,52.90,34,10076,14141,5005,5,4099,bnb: **887** ; knapsack: **19** ; Total: **906**,0.00000285,9.89975556,0.34119113,0.98065260,0.10024139,0.00002003,0.00023120,0.10047259,1,65,2.83,3.52,knapsack: **2283** ; srd: **1835** ; bnb: **887**
bustabit-tiny-hot-wallet_peak-and-tail,15.03401091,51.56,49,10076,14117,5005,5,4090,bnb: **889** ; knapsack: **26** ; Total: **915**,0.00000317,9.99954263,0.32653131,0.95896648,0.10100596,0.00002018,0.00033320,0.10133916,1,58,2.82,3.50,knapsack: **2338** ; srd: **1778** ; bnb: **889**
bustabit-tiny-hot-wallet_peak-and-tail,15.03398752,51.47,37,10076,14162,5005,5,4123,bnb: **851** ; knapsack: **31** ; Total: **882**,0.00000317,9.91820414,0.34180611,0.97929468,0.10102935,0.00002019,0.00025160,0.10128095,1,54,2.83,3.52,knapsack: **2297** ; srd: **1857** ; bnb: **851**
,,,,,,,,,,,,,,,,,,,,,,
